Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
C. Osman , K. Johnson , D. Vassell , J. Sochan , V. Wembanyama,1,3.2,17,6,12,50,2,7,28.6,3,4,75,3,0,3,4,0,1,0,0,5,4,6
D. McDermott , C. Osman , D. Vassell , M. Branham , V. Wembanyama,1,3.2,7,1,4,25,0,2,0,5,5,100,1,2,3,1,2,0,2,0,0,4,-1
D. McDermott , D. Graham , C. Bassey , M. Branham , J. Sochan,1,3.2,9,4,5,80,1,1,100,0,0,0,0,1,1,3,2,1,1,0,1,0,-3
D. McDermott , K. Johnson , D. Vassell , T. Jones , J. Sochan,1,3.2,11,4,6,66.7,1,3,33.3,2,2,100,1,0,1,2,1,2,0,0,1,1,3
D. McDermott , K. Johnson , T. Jones , M. Branham , V. Wembanyama,1,3.2,10,3,5,60,2,2,100,2,2,100,2,4,6,2,2,0,2,0,1,2,0
D. McDermott , Z. Collins , D. Graham , J. Champagnie , V. Wembanyama,1,3.2,8,3,6,50,2,2,100,0,0,0,1,2,3,2,1,0,2,0,3,3,2
K. Johnson , D. Vassell , T. Jones , S. Mamukelashvili , M. Branham,1,3.2,5,2,8,25,1,3,33.3,0,0,0,0,2,2,2,2,1,0,2,1,0,-7
K. Johnson , T. Jones , J. Champagnie , B. Wesley , V. Wembanyama,1,3.2,2,1,3,33.3,0,1,0,0,0,0,0,2,2,0,2,0,0,1,0,2,-7
Z. Collins , K. Johnson , D. Vassell , M. Branham , J. Sochan,16,3.2,6.6,2.5,6.4,39.2,0.7,1.9,36.7,0.9,1.1,82.4,0.9,2.3,3.2,1.6,1.4,0.2,0.1,0.6,1.3,0.8,-2.6
C. Bassey , S. Mamukelashvili , J. Champagnie , B. Wesley , D. Barlow,1,3.1,6,3,7,42.9,0,3,0,0,2,0,2,2,4,1,0,1,0,0,1,1,0
C. Osman , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,1,3.1,7,2,4,50,1,2,50,2,2,100,1,3,4,2,2,0,1,0,0,3,-4
D. Vassell , T. Jones , S. Mamukelashvili , M. Branham , J. Sochan,1,3.1,5,2,5,40,1,3,33.3,0,0,0,0,1,1,2,2,0,0,1,1,0,-2
C. Osman , K. Johnson , D. Vassell , J. Sochan , D. Barlow,1,3,8,3,4,75,2,2,100,0,0,0,0,2,2,3,2,0,1,0,1,0,1
C. Osman , Z. Collins , K. Johnson , T. Jones , V. Wembanyama,2,3,8,2.5,5,50,1.5,2.5,60,1.5,2,75,1,0.5,1.5,2,0.5,0.5,0.5,0.5,1.5,1,-1.5
D. McDermott , C. Bassey , D. Vassell , T. Jones , V. Wembanyama,3,3,8,2.7,4.3,61.5,1.7,2.7,62.5,1,1,100,0,1.3,1.3,2.3,2,0.3,1,0,1,2.3,-0.7
D. McDermott , C. Osman , Z. Collins , M. Branham , V. Wembanyama,1,3,7,2,6,33.3,1,3,33.3,2,2,100,1,4,5,1,1,0,0,0,2,1,2
D. McDermott , K. Johnson , M. Branham , J. Sochan , V. Wembanyama,4,3,6,2.5,5.5,45.5,0,1.8,0,1,1,100,0.5,2.5,3,2,1.3,0,0.8,0.3,0.8,0.8,-2.5
D. McDermott , Z. Collins , D. Vassell , B. Wesley , J. Sochan,2,3,4.5,2,7,28.6,0.5,2.5,20,0,0,0,1,1.5,2.5,1,1,0,0,0.5,0.5,0,-7
