#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
190,John Konchar,MEM,47,19.7,4,1.5,3.6,42.4,0.6,2,30.2,0.4,0.4,85,1.2,3.1,4.4,1.8,0.9,0.9,0.7,9.2
191,Dennis Smith Jr.,BKN,45,19.6,6.8,2.7,6.4,42.7,0.5,1.9,27.9,0.8,1,74.5,1,2.2,3.2,3.9,1.1,0.3,1.2,10.1
192,Patrick Beverley,MIL,57,19.4,6.3,2.2,5.2,42.5,0.8,2.5,33.6,1,1.2,81.4,0.7,2.5,3.2,3,0.6,0.4,1,9.1
193,Christian Braun,DEN,61,19.2,6.8,2.5,5.7,43.4,0.6,1.9,34.5,1.2,1.7,70.9,0.9,2.7,3.5,1.4,0.5,0.4,0.7,8.2
194,Ochai Agbaji,TOR,60,19.1,5.5,2.1,5.1,41.8,0.9,2.8,32,0.4,0.5,75,0.7,1.7,2.5,0.9,0.5,0.6,0.7,6.2
195,Naji Marshall,NOP,49,18.9,6.9,2.4,5.4,44.7,0.8,2.2,37,1.3,1.6,78.5,0.9,2.6,3.5,2,0.7,0.2,1.1,8.9
196,Amir Coffey,LAC,48,18.9,6.1,2.2,4.2,52.2,0.8,2,41.7,0.9,1,87.8,0.4,1.4,1.7,0.9,0.6,0.1,0.4,6.9
197,Isaiah Joe,OKC,57,18.5,8.3,2.9,6.2,46.5,1.9,4.6,41.9,0.6,0.7,85,0.4,1.9,2.3,1.1,0.6,0.3,0.6,8.5
198,Moritz Wagner,ORL,59,18.4,11.3,4.3,7.2,59.2,0.5,1.4,31.8,2.3,2.8,80.4,1.6,3,4.6,1.2,0.5,0.3,1.2,13.2
199,Larry Nance Jr.,NOP,43,18.4,5.3,2.1,3.6,58.8,0.5,1.1,42.6,0.7,0.9,71.8,1.5,3.7,5.1,1.6,0.9,0.4,0.9,10.7
200,Paul Reed,PHI,60,18.3,6.7,3,5.4,55,0.2,0.6,36.1,0.6,0.8,75,2.2,3.4,5.6,1.2,0.7,0.9,0.7,11.7
201,Anthony Black,ORL,55,18.3,4.9,1.8,3.8,46.9,0.5,1.4,38.2,0.9,1.3,66.2,0.5,1.7,2.3,1.5,0.5,0.3,0.9,6.3
202,Dario Saric,GSW,58,18.3,8.6,3,6.5,46.6,1.3,3.3,37.8,1.3,1.5,85.4,1.2,3.5,4.7,2.4,0.5,0.2,1.2,11.5
203,Kris Dunn,UTA,54,18.2,5.4,2.2,4.6,47.6,0.6,1.6,38.2,0.3,0.5,68,0.7,2.1,2.8,4,1.1,0.4,1.3,9.8
204,Peyton Watson,DEN,59,18.2,6.8,2.6,5.5,47.1,0.7,2,33.6,0.9,1.4,67.9,0.7,2.2,2.8,1,0.5,1,0.8,8
205,Duop Reath,POR,46,17.8,9.3,3.5,7.3,47.9,1.4,3.7,37.6,1,1.4,68.8,1.5,2.3,3.8,1.1,0.5,0.6,0.8,10.3
206,Cedi Osman,SAS,61,17.7,6.8,2.5,5.4,47.1,1.2,3.1,37.8,0.6,0.8,68,0.4,2.1,2.5,1.8,0.5,0.1,0.7,7.9
207,T.J. McConnell,IND,51,17.6,8.8,4,7.2,55.4,0.1,0.4,23.8,0.7,0.9,76.6,0.6,2.1,2.7,5.5,1,0.1,1.5,13.2
208,Moses Moody,GSW,46,17.5,8.2,3,6.5,46.8,1.1,3.1,35,1.1,1.4,77.8,1,2,3,0.8,0.7,0.4,0.7,8.6
209,Kevin Love,MIA,47,17.5,9,2.9,6.5,44.3,1.6,4.5,34.9,1.7,2.2,77.9,1.1,5.1,6.2,2.2,0.3,0.2,0.8,13.1
210,Goga Bitadze,ORL,50,17.5,5.6,2.3,3.8,60.5,0,0.2,16.7,1,1.5,64.9,2,3.2,5.2,1.5,0.6,1.4,0.7,11.5
211,Christian Wood,LAL,50,17.4,6.9,2.5,5.3,46.6,0.7,2.3,30.7,1.3,1.9,70.2,0.8,4.3,5.1,1,0.3,0.7,1,9.6
212,Daniel Theis,LAC,45,17.4,6.4,2.6,4.9,53.2,0.4,1.1,37.3,0.7,1,72.1,1.5,2.6,4,1,0.4,0.8,0.7,9.4
213,Joe Ingles,ORL,47,17.3,4.6,1.6,3.8,41.3,1.1,2.6,41,0.4,0.4,85.7,0.3,1.9,2.2,3,0.7,0.1,0.9,7.3
214,Andre Drummond,CHI,61,17.3,8.4,3.5,6.3,55.2,0,0,0,1.5,2.6,57.7,3.4,5.5,8.9,0.5,1,0.7,1.1,14.5
215,Ish Smith,CHA,43,17.2,3.2,1.5,3.7,41.8,0.1,0.2,50,0.1,0.1,75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,5.6
216,Josh Okogie,PHX,54,17.1,4.9,1.5,3.7,41.7,0.5,1.7,29.7,1.4,1.9,74,1.3,1.4,2.7,1.1,0.9,0.4,0.6,6.9
